child_count,has_hallucination,node_index,severity,unsupported_claims
7,True,200,minor,"[""AI 가속기가 관계와 외관 선호 입력을 바탕으로 복수의 외관을 생성한다는 주장은 child text의 마지막 문장이 중간에 끊겨 있어 뒷받침되지 않는다."", ""이 특허 묶음이 '가상 환경 생성 기술'을 다룬다는 표현은 child text에서 가상 환경 내 관계와 외관 선호 입력 제공까지만 확인되며, 환경 생성 자체는 뒷받침되지 않는다."", ""전체 목적 중 '가상 환경 내 외관 생성 자동화'는 child text에서 확인되지 않는다."", ""'분할 모델 성능 개선'은 child text의 '모델 파라미터 수정'보다 강한 표현으로, 성능 개선 효과는 명시적으로 뒷받침되지 않는다."", ""'신경망 벡터 연산 효율화'는 벡터 연산 구조 설명은 있으나 효율화 목적이나 효과가 명시적으로 제시되지 않아 부분적으로 뒷받침되지 않는다.""]"
1,True,201,minor,"[""'핵심 구성'이 NOR 메모리 스트링과 이를 동시에 읽는 동작이라는 구성 요소 중심의 설명은 child text에서 명시적으로 제시되지 않습니다."", ""복잡한 다변수 논리 처리나 신호 생성을 '메모리 내부에서 효율적으로 처리'한다는 효과는 child text의 '하나의 동시 읽기 연산으로 수행 가능'이라는 장점에서 일부 추론한 표현이며 명시적으로 뒷받침되지는 않습니다.""]"
23,True,202,major,"[""Zener 다이오드 내장 구조가 포함된다는 주장"", ""CAM/검색 회로용 매치라인 구동 구조가 포함된다는 주장"", ""SDB 영역의 산화막 손실 저감 공정이 제안된다는 주장"", ""응력 보강 표면 확산을 이용한 원자 수준 표면 평탄화가 제안된다는 주장"", ""레이저 박리층과 열확산층을 이용한 기판 박리 기술이 제안된다는 주장"", ""반도체 박막층 전사 및 본딩 기술이 제안된다는 주장"", ""싱커층, 컬럼 영역, 도전성 플러그, 재배선 구조물, 브릿지 칩, 관통 전극이 구조적 구성에 포함된다는 주장"", ""큰 로직 칩의 열 특성을 고려한 3D 적층 칩 구조가 제시된다는 주장"", ""세라믹 기판 캐비티 내 브릿지 칩으로 복수 반도체 칩을 연결하는 패키지가 제시된다는 주장"", ""고내압 유지, 항복 내성 확보, 회로 지연 억제, 동작 안정성 향상, 표면 평탄도 개선, 박리 및 전사 공정 안정화, 산화막 손실 저감, 패키지 열 특성 최적화 효과가 요약된다는 주장""]"
3,True,203,minor,"[""세 텍스트가 모두 '특허 요약'이라는 점은 child text에서 명시적으로 뒷받침되지 않습니다."", ""첫 번째 기술의 목적이 '연산 유닛과 후처리 유닛을 태그 기반으로 할당하여 뉴럴 네트워크 연산을 효율적으로 수행하는 것'이라는 목적 진술은 child text에 명시되어 있지 않습니다."", ""두 번째 기술의 목적이 '엔티티와 관계 구조를 추출해 지식 그래프를 구성하는 것'이라는 목적 진술은 child text에 명시되어 있지 않습니다."", ""세 번째 기술의 목적이 '뉴럴 네트워크 모델의 가중치를 보호하면서 실행 시 필요한 연산이 가능하도록 하는 것'이라는 목적 진술은 child text에 명시되어 있지 않습니다.""]"
8,False,204,none,[]
12,True,205,major,"[""ECC 처리 기술에 관한 것이라는 주장"", ""메모리 다이와 로직 다이의 웨이퍼 본딩 구조가 핵심 기술이라는 주장"", ""NoC 상의 인라인 ECC 처리 회로가 핵심 기술이라는 주장"", ""구성 요소에 제어 로직, 내부 처리 회로, ECC 회로, 센스 앰프 스트라이프, 트랜시버, 메모리 컨트롤러가 포함된다는 주장"", ""메모리 내부 또는 근접 위치에서 오류 정정을 수행한다는 목적"", ""내부 처리 결과에 대한 ECC 부호화 및 재저장 효과"", ""수소 함유 금속층을 이용한 저항 변화 기반 비트 저장 효과"", ""로직 다이로의 신호 전달 효과"", ""NoC 경유 메모리 트랜잭션의 ECC 계산 효과""]"
1,True,206,major,"[""각 PE 그룹이 제2 요소를 함께 수신하여 연산을 수행한다는 주장: child text는 수신한다고만 하며 연산 수행은 명시하지 않음."", ""이 기술의 목적과 효과가 블록 단위 희소성을 활용해 희소화된 데이터에 대한 가속기 연산을 효율적으로 수행하는 데 있다는 주장: child text에 목적, 효과, 효율성 관련 내용이 없음.""]"
3,True,207,minor,"[""첫 번째 기술이 '뉴런 상태 관리와 이벤트 통합을 효율화한다'는 효과는 child text에 명시적으로 제시되지 않습니다."", ""세 번째 기술이 'NoC 라우팅 처리의 유연성과 효율을 높인다'는 효과는 child text의 구조 설명에서 추론은 가능하지만 명시적으로 뒷받침되지는 않습니다.""]"
19,True,208,major,"[""멀티 노드·멀티 GPU 환경에서 GPU 수만 지정하면 유휴 GPU를 자동 할당하고 컨테이너를 생성하는 분산 학습 시스템이 제시된다는 주장"", ""주 GPU와 보조 GPU에 신경망 레이어를 분기 배치해 트리 구조로 최적화하는 기술이 포함된다는 주장"", ""서브네트워크 수를 제한하고 드롭아웃 마스크를 생성하는 학습 방식이 포함된다는 주장"", ""사전 학습 모델의 일부 레이어 그룹만 압축 후 저장된 입출력 데이터로 재학습하는 국부 압축 방법이 포함된다는 주장"", ""FP 신경망을 이동 표적으로 삼아 바이너리 신경망과 커플링 로스를 통해 함께 학습하는 자기지도학습 방식이 포함된다는 주장"", ""위변조 탐지, 이미지 분류용 라벨 데이터 획득, 3차원 포인트 클라우드 객체 인지 모델 학습, 반도체 공정 이상 감지 모델 생성, 탄화수소 저장소 모델링 등 산업 응용 분야가 포함된다는 주장"", ""지식 그래프 노드의 이진 임베딩 벡터 변환 및 질의 기반 노드 선택 방식이 포함된다는 주장"", ""입력 질의 및 후보 컨텍스트를 압축·선별해 동적 프롬프트를 구성하는 언어모델 처리 자원 절감 기술이 포함된다는 주장""]"
8,True,209,minor,"[""가중치 데이터 양자화가 하드웨어 기반 신경망 연산 장치 구현에 필요한 저장량뿐 아니라 '연산 부담'까지 낮춘다는 효과는 child text에 명시적으로 제시되지 않습니다. 가중치 데이터 값의 수를 줄인다는 내용은 있으나 연산 부담 감소까지는 추론입니다.""]"
5,False,210,none,[]
3,True,211,minor,"[""child text는 세 항목이 '특허'라고 명시하지 않는다."", ""프로세싱-인-메모리 장치나 메모리 결합 가속기에서 명령어를 '효율적으로' 실행한다는 목적/효과는 명시적으로 뒷받침되지 않는다.""]"
